episode,selectivity,bucket_id,q_pre_before,q_post_before,chosen_strategy,was_guardrail,latency_ms,recall,reward,q_pre_after,q_post_after,gt_latency_ms,filter_name
171,0.7886,19,0.81,0.942327,pre_filter,False,44.6894,1.0,0.0,0.729,0.942327,25.0741,overall>=4.0
172,0.610257,18,0.81,0.961495,post_filter,False,1.0036,1.0,0.966546,0.81,0.962,25.0764,overall>=5.0
173,0.751008,19,0.729,0.942327,post_filter,False,0.4575,0.0,0.0,0.729,0.848094,25.2394,"overall IN (1,2,5)"
174,0.160682,1,0.806974,0.874556,post_filter,False,1.1698,0.3,9e-06,0.806974,0.787102,25.7839,"main_cat IN ('Camera & Photo', 'Computers')"
175,0.859249,20,0.81,0.975163,post_filter,False,0.9945,1.0,0.966851,0.81,0.974332,25.0701,overall>=3.0
176,0.140751,1,0.806974,0.787102,post_filter,False,1.4233,0.2,0.0,0.806974,0.708392,26.9989,overall<=2.0
177,0.092237,0,0.889842,0.731084,pre_filter,False,5.6802,1.0,0.81066,0.881924,0.731084,25.1185,main_cat='Home Audio &amp; Theater' AND overall>=3.0
178,0.7886,19,0.729,0.848094,post_filter,False,0.9271,1.0,0.969097,0.729,0.860195,25.0429,overall>=4.0
179,0.836128,20,0.81,0.974332,post_filter,False,0.8489,1.0,0.971704,0.81,0.974069,24.9337,"overall IN (2,4,5)"
180,0.389743,11,0.9,0.990205,post_filter,False,0.8773,1.0,0.970757,0.9,0.98826,25.2138,overall<=4.0
181,0.073033,0,0.881924,0.731084,pre_filter,False,4.0077,1.0,0.866411,0.880373,0.731084,25.9533,brand='Tiffen'
182,0.248992,4,0.929172,0.990645,post_filter,False,0.9316,1.0,0.968947,0.929172,0.988475,25.0067,"overall IN (3,4)"
